"","DATAFLOW","LAST.UPDATE","freq","frequenc","deg_urb","sex","age","unit","geo","TIME_PERIOD","OBS_VALUE","OBS_FLAG","CONF_STATUS"
"2385","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","IT",2019,11.7,"",NA
"2386","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","LT",2014,0.5,"",NA
"2387","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","LT",2019,0.8,"",NA
"2388","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","LU",2014,10,"",NA
"2389","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","LU",2019,8.2,"",NA
"2390","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","LV",2014,1.5,"",NA
"2391","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","LV",2019,1.5,"",NA
"2392","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","MT",2014,5.3,"",NA
"2393","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","MT",2019,7.7,"",NA
"2394","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","NL",2019,7.8,"",NA
"2395","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","NO",2014,3.2,"",NA
"2396","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","NO",2019,2.1,"",NA
"2397","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","PL",2014,2.1,"",NA
"2398","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","PL",2019,1.5,"",NA
"2399","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","PT",2014,22.9,"",NA
"2400","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","PT",2019,19.8,"",NA
"2401","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","RO",2014,2.2,"",NA
"2402","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","RO",2019,1.5,"",NA
